,,"All values, costs, and indexes are in current dollars (nominals)",,,,,
DENVER,2012Q2,"$263,363","$204,205","$59,157",22.5%,1.217,0.682
DENVER,2012Q3,"$269,855","$204,468","$65,387",24.2%,1.247,0.756
DENVER,2012Q4,"$276,369","$205,315","$71,054",25.7%,1.277,0.825
DENVER,2013Q1,"$282,141","$207,162","$74,980",26.6%,1.303,0.875
DENVER,2013Q2,"$288,538","$209,484","$79,054",27.4%,1.333,0.926
DENVER,2013Q3,"$297,108","$211,652","$85,456",28.8%,1.372,1.004
DENVER,2013Q4,"$301,921","$212,975","$88,946",29.5%,1.395,1.049
DENVER,2014Q1,"$307,187","$212,989","$94,198",30.7%,1.419,1.115
DENVER,2014Q2,"$312,116","$212,279","$99,837",32.0%,1.442,1.185
DENVER,2014Q3,"$316,600","$211,554","$105,046",33.2%,1.462,1.252
DENVER,2014Q4,"$325,074","$211,576","$113,498",34.9%,1.502,1.357
DENVER,2015Q1,"$335,639","$212,869","$122,770",36.6%,1.550,1.474
DENVER,2015Q2,"$343,517","$214,912","$128,605",37.4%,1.587,1.549
DENVER,2015Q3,"$350,736","$217,004","$133,732",38.1%,1.620,1.616
DENVER,2015Q4,"$359,896","$218,439","$141,457",39.3%,1.662,1.716
DENVER,2016Q1,"$368,597","$218,829","$149,768",40.6%,1.703,1.824
DENVER,2016Q2,"$375,603","$218,233","$157,370",41.9%,1.735,1.923
DENVER,2016Q3,"$382,699","$217,345","$165,354",43.2%,1.768,2.026
DENVER,2016Q4,"$391,160","$216,742","$174,417",44.6%,1.807,2.142
DENVER,2017Q1,"$400,388","$216,633","$183,755",45.9%,1.850,2.258
DENVER,2017Q2,"$404,968","$217,474","$187,495",46.3%,1.871,2.309
DENVER,2017Q3,"$410,439","$218,811","$191,629",46.7%,1.896,2.365
DENVER,2017Q4,"$419,297","$220,429","$198,868",47.4%,1.937,2.461
DENVER,2018Q1,"$433,133","$224,477","$208,656",48.2%,2.001,2.589
DENVER,2018Q2,"$439,125","$228,740","$210,385",47.9%,2.028,2.618
DETROIT,1984Q4,"$54,970","$52,221","$2,748",5.0%,0.358,0.055
DETROIT,1985Q1,"$55,915","$52,819","$3,096",5.5%,0.365,0.062
DETROIT,1985Q2,"$56,031","$53,230","$2,802",5.0%,0.365,0.056
DETROIT,1985Q3,"$57,239","$54,377","$2,862",5.0%,0.373,0.058
DETROIT,1985Q4,"$58,916","$55,970","$2,946",5.0%,0.384,0.059
DETROIT,1986Q1,"$59,887","$56,893","$2,994",5.0%,0.391,0.060
DETROIT,1986Q2,"$61,188","$58,129","$3,059",5.0%,0.399,0.062
DETROIT,1986Q3,"$64,189","$60,979","$3,209",5.0%,0.419,0.065
DETROIT,1986Q4,"$66,050","$62,747","$3,302",5.0%,0.431,0.066
DETROIT,1987Q1,"$67,777","$64,388","$3,389",5.0%,0.442,0.068
DETROIT,1987Q2,"$69,537","$66,061","$3,477",5.0%,0.453,0.070
DETROIT,1987Q3,"$71,673","$68,089","$3,584",5.0%,0.467,0.072
DETROIT,1987Q4,"$73,446","$69,774","$3,672",5.0%,0.479,0.074
DETROIT,1988Q1,"$74,233","$70,521","$3,712",5.0%,0.484,0.075
DETROIT,1988Q2,"$75,404","$71,634","$3,770",5.0%,0.492,0.076
DETROIT,1988Q3,"$76,962","$73,114","$3,848",5.0%,0.502,0.077
DETROIT,1988Q4,"$78,525","$74,598","$3,926",5.0%,0.512,0.079
DETROIT,1989Q1,"$79,386","$75,416","$3,969",5.0%,0.518,0.080
DETROIT,1989Q2,"$80,490","$76,465","$4,024",5.0%,0.525,0.081
DETROIT,1989Q3,"$82,218","$78,107","$4,111",5.0%,0.536,0.083
DETROIT,1989Q4,"$83,410","$78,704","$4,706",5.6%,0.544,0.095
DETROIT,1990Q1,"$84,623","$78,872","$5,751",6.8%,0.552,0.116
DETROIT,1990Q2,"$85,506","$79,063","$6,443",7.5%,0.558,0.130
DETROIT,1990Q3,"$86,124","$79,401","$6,722",7.8%,0.562,0.135
DETROIT,1990Q4,"$86,745","$80,017","$6,728",7.8%,0.566,0.135
DETROIT,1991Q1,"$87,084","$80,986","$6,098",7.0%,0.568,0.123
DETROIT,1991Q2,"$87,502","$82,164","$5,339",6.1%,0.571,0.108
DETROIT,1991Q3,"$88,489","$83,359","$5,131",5.8%,0.577,0.103
DETROIT,1991Q4,"$89,192","$84,377","$4,815",5.4%,0.582,0.097
DETROIT,1992Q1,"$89,561","$85,083","$4,478",5.0%,0.584,0.090
DETROIT,1992Q2,"$90,797","$85,654","$5,143",5.7%,0.592,0.104
DETROIT,1992Q3,"$91,321","$86,056","$5,265",5.8%,0.596,0.106
DETROIT,1992Q4,"$91,685","$86,524","$5,161",5.6%,0.598,0.104
DETROIT,1993Q1,"$92,188","$87,154","$5,034",5.5%,0.601,0.101
DETROIT,1993Q2,"$93,140","$87,875","$5,265",5.7%,0.607,0.106
DETROIT,1993Q3,"$94,506","$88,552","$5,954",6.3%,0.616,0.120
DETROIT,1993Q4,"$95,877","$89,057","$6,820",7.1%,0.625,0.137
DETROIT,1994Q1,"$96,839","$89,317","$7,522",7.8%,0.632,0.151
DETROIT,1994Q2,"$98,120","$89,488","$8,632",8.8%,0.640,0.174
DETROIT,1994Q3,"$99,770","$89,780","$9,990",10.0%,0.651,0.201
DETROIT,1994Q4,"$101,071","$90,400","$10,671",10.6%,0.659,0.216
DETROIT,1995Q1,"$104,949","$91,515","$13,434",12.8%,0.684,0.273
DETROIT,1995Q2,"$105,188","$92,868","$12,320",11.7%,0.686,0.250
DETROIT,1995Q3,"$106,783","$94,237","$12,547",11.7%,0.696,0.255
DETROIT,1995Q4,"$108,912","$95,365","$13,547",12.4%,0.710,0.276
DETROIT,1996Q1,"$110,881","$96,058","$14,823",13.4%,0.723,0.302
DETROIT,1996Q2,"$113,598","$96,420","$17,178",15.1%,0.741,0.351
DETROIT,1996Q3,"$115,970","$96,599","$19,372",16.7%,0.756,0.396
DETROIT,1996Q4,"$117,994","$96,749","$21,245",18.0%,0.769,0.435
DETROIT,1997Q1,"$119,056","$96,987","$22,069",18.5%,0.776,0.452
DETROIT,1997Q2,"$122,087","$97,357","$24,730",20.3%,0.796,0.507
DETROIT,1997Q3,"$124,041","$97,834","$26,206",21.1%,0.809,0.538
DETROIT,1997Q4,"$126,239","$98,410","$27,829",22.0%,0.823,0.571
DETROIT,1998Q1,"$128,208","$99,084","$29,124",22.7%,0.836,0.599
DETROIT,1998Q2,"$130,900","$99,782","$31,118",23.8%,0.854,0.641
DETROIT,1998Q3,"$133,058","$100,478","$32,580",24.5%,0.868,0.672
DETROIT,1998Q4,"$135,640","$101,130","$34,511",25.4%,0.885,0.712
DETROIT,1999Q1,"$139,060","$101,731","$37,329",26.8%,0.907,0.772
DETROIT,1999Q2,"$140,939","$102,272","$38,667",27.4%,0.919,0.800
DETROIT,1999Q3,"$144,488","$102,826","$41,663",28.8%,0.942,0.862
DETROIT,1999Q4,"$147,628","$103,441","$44,187",29.9%,0.963,0.914
DETROIT,2000Q1,"$150,739","$104,024","$46,715",31.0%,0.983,0.963
DETROIT,2000Q2,"$153,341","$104,874","$48,467",31.6%,1.000,1.000
DETROIT,2000Q3,"$155,958","$105,831","$50,127",32.1%,1.017,1.036
DETROIT,2000Q4,"$158,430","$106,868","$51,563",32.5%,1.033,1.067
DETROIT,2001Q1,"$160,943","$108,174","$52,768",32.8%,1.050,1.100
DETROIT,2001Q2,"$162,692","$109,254","$53,438",32.8%,1.061,1.116
DETROIT,2001Q3,"$164,955","$110,334","$54,621",33.1%,1.076,1.143
DETROIT,2001Q4,"$166,132","$111,431","$54,701",32.9%,1.083,1.145
DETROIT,2002Q1,"$167,468","$112,405","$55,063",32.9%,1.092,1.149
DETROIT,2002Q2,"$168,744","$113,479","$55,265",32.8%,1.100,1.154
DETROIT,2002Q3,"$171,166","$114,400","$56,767",33.2%,1.116,1.185
DETROIT,2002Q4,"$172,482","$115,048","$57,434",33.3%,1.125,1.200
DETROIT,2003Q1,"$173,076","$115,447","$57,629",33.3%,1.129,1.206
DETROIT,2003Q2,"$175,997","$115,757","$60,239",34.2%,1.148,1.261
DETROIT,2003Q3,"$176,336","$116,420","$59,916",34.0%,1.150,1.254
DETROIT,2003Q4,"$178,130","$117,819","$60,312",33.9%,1.162,1.262
DETROIT,2004Q1,"$179,815","$120,178","$59,637",33.2%,1.173,1.247
DETROIT,2004Q2,"$182,118","$123,236","$58,882",32.3%,1.188,1.231
DETROIT,2004Q3,"$181,944","$126,520","$55,424",30.5%,1.187,1.158
DETROIT,2004Q4,"$183,065","$129,579","$53,486",29.2%,1.194,1.117
DETROIT,2005Q1,"$185,423","$132,066","$53,357",28.8%,1.209,1.114
DETROIT,2005Q2,"$188,374","$134,070","$54,304",28.8%,1.228,1.133
DETROIT,2005Q3,"$186,724","$135,785","$50,939",27.3%,1.218,1.062
DETROIT,2005Q4,"$187,995","$137,401","$50,594",26.9%,1.226,1.054
DETROIT,2006Q1,"$190,438","$139,037","$51,401",27.0%,1.242,1.070
DETROIT,2006Q2,"$186,978","$140,646","$46,332",24.8%,1.219,0.963
DETROIT,2006Q3,"$181,869","$142,064","$39,804",21.9%,1.186,0.827
DETROIT,2006Q4,"$178,873","$143,142","$35,731",20.0%,1.167,0.742
DETROIT,2007Q1,"$176,774","$143,836","$32,938",18.6%,1.153,0.684
DETROIT,2007Q2,"$170,538","$144,376","$26,162",15.3%,1.112,0.543
DETROIT,2007Q3,"$164,158","$145,144","$19,014",11.6%,1.071,0.394
DETROIT,2007Q4,"$156,108","$146,505","$9,603",6.2%,1.018,0.199
DETROIT,2008Q1,"$148,022","$140,621","$7,401",5.0%,0.965,0.153
DETROIT,2008Q2,"$141,677","$134,593","$7,084",5.0%,0.924,0.147
DETROIT,2008Q3,"$134,838","$128,096","$6,742",5.0%,0.879,0.140
DETROIT,2008Q4,"$123,288","$117,124","$6,164",5.0%,0.804,0.128
DETROIT,2009Q1,"$112,795","$107,155","$5,640",5.0%,0.736,0.117
DETROIT,2009Q2,"$106,559","$101,231","$5,328",5.0%,0.695,0.110
DETROIT,2009Q3,"$104,470","$99,247","$5,224",5.0%,0.681,0.108
DETROIT,2009Q4,"$107,217","$98,930","$8,287",7.7%,0.699,0.172
DETROIT,2010Q1,"$106,609","$98,808","$7,801",7.3%,0.695,0.161
DETROIT,2010Q2,"$104,949","$98,986","$5,963",5.7%,0.684,0.123
DETROIT,2010Q3,"$103,518","$98,342","$5,176",5.0%,0.675,0.083
DETROIT,2010Q4,"$101,146","$96,088","$5,057",5.0%,0.660,0.081
DETROIT,2011Q1,"$101,943","$96,846","$5,097",5.0%,0.665,0.082
DETROIT,2011Q2,"$101,445","$96,372","$5,072",5.0%,0.662,0.081
DETROIT,2011Q3,"$106,853","$97,689","$9,164",8.6%,0.697,0.147
DETROIT,2011Q4,"$106,046","$98,726","$7,319",6.9%,0.692,0.118
DETROIT,2012Q1,"$106,145","$99,335","$6,810",6.4%,0.692,0.109
DETROIT,2012Q2,"$108,443","$99,649","$8,794",8.1%,0.707,0.141
DETROIT,2012Q3,"$115,098","$99,869","$15,229",13.2%,0.751,0.245
DETROIT,2012Q4,"$119,938","$100,189","$19,749",16.5%,0.782,0.318
DETROIT,2013Q1,"$124,051","$100,759","$23,291",18.8%,0.809,0.376
DETROIT,2013Q2,"$129,554","$101,499","$28,055",21.7%,0.845,0.453
DETROIT,2013Q3,"$134,738","$102,293","$32,445",24.1%,0.879,0.524
DETROIT,2013Q4,"$140,720","$103,020","$37,700",26.8%,0.918,0.609
DETROIT,2014Q1,"$143,192","$103,575","$39,617",27.7%,0.934,0.640
DETROIT,2014Q2,"$144,717","$103,994","$40,724",28.1%,0.944,0.658
DETROIT,2014Q3,"$143,920","$104,306","$39,614",27.5%,0.939,0.640
DETROIT,2014Q4,"$145,196","$104,553","$40,643",28.0%,0.947,0.656
DETROIT,2015Q1,"$148,421","$104,735","$43,686",29.4%,0.968,0.705
DETROIT,2015Q2,"$151,586","$104,909","$46,677",30.8%,0.989,0.753
DETROIT,2015Q3,"$151,811","$105,024","$46,787",30.8%,0.990,0.755
DETROIT,2015Q4,"$154,134","$105,059","$49,075",31.8%,1.005,0.793
DETROIT,2016Q1,"$157,573","$105,080","$52,493",33.3%,1.028,0.850
DETROIT,2016Q2,"$159,228","$104,967","$54,261",34.1%,1.038,0.878
DETROIT,2016Q3,"$161,147","$104,859","$56,289",34.9%,1.051,0.911
DETROIT,2016Q4,"$164,218","$104,820","$59,398",36.2%,1.071,0.961
DETROIT,2017Q1,"$167,523","$104,817","$62,706",37.4%,1.092,1.013
DETROIT,2017Q2,"$171,331","$105,022","$66,309",38.7%,1.117,1.070
DETROIT,2017Q3,"$172,682","$105,318","$67,364",39.0%,1.126,1.087
DETROIT,2017Q4,"$175,737","$105,663","$70,074",39.9%,1.146,1.131
DETROIT,2018Q1,"$180,642","$107,337","$73,305",40.6%,1.178,1.183
DETROIT,2018Q2,"$183,160","$109,107","$74,053",40.4%,1.194,1.195
FORTWORTH,1984Q4,"$98,622","$54,152","$44,470",45.1%,0.808,0.851
FORTWORTH,1985Q1,"$99,105","$54,623","$44,482",44.9%,0.812,0.859
FORTWORTH,1985Q2,"$99,674","$55,285","$44,388",44.5%,0.816,0.864
FORTWORTH,1985Q3,"$100,712","$56,046","$44,666",44.4%,0.825,0.876
FORTWORTH,1985Q4,"$101,350","$56,767","$44,582",44.0%,0.830,0.881
FORTWORTH,1986Q1,"$101,238","$57,422","$43,816",43.3%,0.829,0.874
FORTWORTH,1986Q2,"$102,108","$57,872","$44,236",43.3%,0.836,0.889
FORTWORTH,1986Q3,"$101,309","$58,272","$43,038",42.5%,0.830,0.870
FORTWORTH,1986Q4,"$100,394","$58,708","$41,686",41.5%,0.822,0.847
FORTWORTH,1987Q1,"$100,332","$59,194","$41,138",41.0%,0.822,0.838
FORTWORTH,1987Q2,"$96,908","$59,786","$37,122",38.3%,0.794,0.760
FORTWORTH,1987Q3,"$96,140","$60,366","$35,773",37.2%,0.787,0.735
FORTWORTH,1987Q4,"$94,217","$60,851","$33,366",35.4%,0.772,0.688
FORTWORTH,1988Q1,"$93,586","$61,157","$32,429",34.7%,0.766,0.670
FORTWORTH,1988Q2,"$92,923","$61,404","$31,519",33.9%,0.761,0.654
FORTWORTH,1988Q3,"$91,111","$61,618","$29,493",32.4%,0.746,0.614
FORTWORTH,1988Q4,"$89,824","$61,866","$27,958",31.1%,0.736,0.584
FORTWORTH,1989Q1,"$89,266","$62,218","$27,048",30.3%,0.731,0.568
FORTWORTH,1989Q2,"$89,292","$62,610","$26,683",29.9%,0.731,0.562
FORTWORTH,1989Q3,"$90,288","$63,030","$27,258",30.2%,0.739,0.577
FORTWORTH,1989Q4,"$90,107","$63,439","$26,668",29.6%,0.738,0.566
FORTWORTH,1990Q1,"$89,532","$63,780","$25,752",28.8%,0.733,0.548
FORTWORTH,1990Q2,"$89,652","$64,118","$25,535",28.5%,0.734,0.545
FORTWORTH,1990Q3,"$90,026","$64,427","$25,599",28.4%,0.737,0.548
FORTWORTH,1990Q4,"$89,558","$64,708","$24,850",27.7%,0.733,0.535
FORTWORTH,1991Q1,"$90,108","$64,984","$25,124",27.9%,0.738,0.543
FORTWORTH,1991Q2,"$90,259","$65,232","$25,027",27.7%,0.739,0.543
FORTWORTH,1991Q3,"$89,846","$65,484","$24,362",27.1%,0.736,0.531
FORTWORTH,1991Q4,"$89,840","$65,762","$24,077",26.8%,0.736,0.527
FORTWORTH,1992Q1,"$90,882","$66,134","$24,748",27.2%,0.744,0.545
FORTWORTH,1992Q2,"$90,596","$66,476","$24,120",26.6%,0.742,0.533
FORTWORTH,1992Q3,"$91,109","$66,834","$24,276",26.6%,0.746,0.538
FORTWORTH,1992Q4,"$91,694","$67,201","$24,493",26.7%,0.751,0.544
FORTWORTH,1993Q1,"$91,478","$67,489","$23,989",26.2%,0.749,0.531
FORTWORTH,1993Q2,"$92,397","$67,895","$24,502",26.5%,0.757,0.543
FORTWORTH,1993Q3,"$93,025","$68,333","$24,692",26.5%,0.762,0.549
FORTWORTH,1993Q4,"$93,288","$68,801","$24,486",26.2%,0.764,0.546
FORTWORTH,1994Q1,"$93,735","$69,300","$24,435",26.1%,0.768,0.547
FORTWORTH,1994Q2,"$94,284","$69,814","$24,470",26.0%,0.772,0.550
FORTWORTH,1994Q3,"$94,666","$70,340","$24,326",25.7%,0.775,0.549
FORTWORTH,1994Q4,"$95,105","$70,871","$24,234",25.5%,0.779,0.549
FORTWORTH,1995Q1,"$95,442","$71,444","$23,999",25.1%,0.782,0.548
FORTWORTH,1995Q2,"$96,085","$71,965","$24,120",25.1%,0.787,0.554
FORTWORTH,1995Q3,"$96,929","$72,484","$24,445",25.2%,0.794,0.564
FORTWORTH,1995Q4,"$97,787","$73,006","$24,781",25.3%,0.801,0.575
FORTWORTH,1996Q1,"$98,602","$73,503","$25,099",25.5%,0.808,0.584
FORTWORTH,1996Q2,"$99,363","$74,023","$25,340",25.5%,0.814,0.593
FORTWORTH,1996Q3,"$100,000","$74,511","$25,489",25.5%,0.819,0.599
FORTWORTH,1996Q4,"$100,599","$74,940","$25,659",25.5%,0.824,0.607
FORTWORTH,1997Q1,"$101,367","$75,307","$26,060",25.7%,0.830,0.620
FORTWORTH,1997Q2,"$102,243","$75,652","$26,591",26.0%,0.837,0.636
FORTWORTH,1997Q3,"$103,091","$76,049","$27,042",26.2%,0.844,0.651
FORTWORTH,1997Q4,"$104,577","$76,572","$28,006",26.8%,0.856,0.679
FORTWORTH,1998Q1,"$106,136","$77,299","$28,837",27.2%,0.869,0.704
FORTWORTH,1998Q2,"$107,611","$78,116","$29,495",27.4%,0.881,0.725
FORTWORTH,1998Q3,"$109,414","$78,993","$30,421",27.8%,0.896,0.752
FORTWORTH,1998Q4,"$111,062","$79,865","$31,197",28.1%,0.910,0.776
FORTWORTH,1999Q1,"$112,666","$80,691","$31,974",28.4%,0.923,0.800
FORTWORTH,1999Q2,"$114,626","$81,404","$33,223",29.0%,0.939,0.835
FORTWORTH,1999Q3,"$116,479","$81,992","$34,486",29.6%,0.954,0.871
FORTWORTH,1999Q4,"$118,092","$82,431","$35,661",30.2%,0.967,0.904
FORTWORTH,2000Q1,"$120,396","$82,599","$37,797",31.4%,0.986,0.959
FORTWORTH,2000Q2,"$122,107","$82,886","$39,221",32.1%,1.000,1.000
FORTWORTH,2000Q3,"$123,803","$83,296","$40,507",32.7%,1.014,1.039
FORTWORTH,2000Q4,"$125,903","$83,957","$41,946",33.3%,1.031,1.082
FORTWORTH,2001Q1,"$127,965","$85,144","$42,821",33.5%,1.048,1.118
FORTWORTH,2001Q2,"$129,405","$86,267","$43,138",33.3%,1.060,1.133
FORTWORTH,2001Q3,"$130,521","$87,359","$43,162",33.1%,1.069,1.140
FORTWORTH,2001Q4,"$131,536","$88,258","$43,278",32.9%,1.077,1.148
FORTWORTH,2002Q1,"$132,898","$88,733","$44,165",33.2%,1.088,1.173
FORTWORTH,2002Q2,"$134,244","$89,098","$45,146",33.6%,1.099,1.203
FORTWORTH,2002Q3,"$135,433","$89,336","$46,097",34.0%,1.109,1.233
FORTWORTH,2002Q4,"$136,475","$89,539","$46,935",34.4%,1.118,1.259
FORTWORTH,2003Q1,"$137,048","$89,841","$47,208",34.4%,1.122,1.272
FORTWORTH,2003Q2,"$137,209","$90,328","$46,881",34.2%,1.124,1.267
FORTWORTH,2003Q3,"$137,734","$91,207","$46,527",33.8%,1.128,1.262
FORTWORTH,2003Q4,"$138,502","$92,651","$45,851",33.1%,1.134,1.247
FORTWORTH,2004Q1,"$139,264","$94,717","$44,547",32.0%,1.141,1.214
FORTWORTH,2004Q2,"$140,279","$97,272","$43,007",30.7%,1.149,1.175
FORTWORTH,2004Q3,"$141,100","$99,975","$41,125",29.1%,1.156,1.127
FORTWORTH,2004Q4,"$141,801","$102,522","$39,279",27.7%,1.161,1.080
FORTWORTH,2005Q1,"$142,915","$104,663","$38,252",26.8%,1.170,1.055
FORTWORTH,2005Q2,"$144,415","$106,548","$37,867",26.2%,1.183,1.048
FORTWORTH,2005Q3,"$145,695","$108,314","$37,381",25.7%,1.193,1.039
FORTWORTH,2005Q4,"$147,598","$110,129","$37,469",25.4%,1.209,1.046
FORTWORTH,2006Q1,"$148,971","$112,130","$36,841",24.7%,1.220,1.034
FORTWORTH,2006Q2,"$149,720","$114,071","$35,650",23.8%,1.226,1.005
FORTWORTH,2006Q3,"$150,946","$115,785","$35,161",23.3%,1.236,0.996
FORTWORTH,2006Q4,"$151,880","$117,059","$34,820",22.9%,1.244,0.991
FORTWORTH,2007Q1,"$153,433","$117,820","$35,613",23.2%,1.257,1.019
FORTWORTH,2007Q2,"$154,316","$118,366","$35,950",23.3%,1.264,1.033
FORTWORTH,2007Q3,"$153,755","$119,170","$34,585",22.5%,1.259,0.997
FORTWORTH,2007Q4,"$153,130","$120,698","$32,432",21.2%,1.254,0.939
FORTWORTH,2008Q1,"$152,560","$123,219","$29,341",19.2%,1.249,0.852
FORTWORTH,2008Q2,"$151,767","$126,267","$25,500",16.8%,1.243,0.743
FORTWORTH,2008Q3,"$152,153","$129,180","$22,973",15.1%,1.246,0.671
FORTWORTH,2008Q4,"$151,004","$131,285","$19,719",13.1%,1.237,0.577
FORTWORTH,2009Q1,"$149,665","$132,123","$17,541",11.7%,1.226,0.515
FORTWORTH,2009Q2,"$149,607","$132,008","$17,599",11.8%,1.225,0.518
FORTWORTH,2009Q3,"$150,315","$131,461","$18,854",12.5%,1.231,0.555
FORTWORTH,2009Q4,"$151,554","$130,996","$20,558",13.6%,1.241,0.607
FORTWORTH,2010Q1,"$151,429","$130,974","$20,455",13.5%,1.240,0.603
FORTWORTH,2010Q2,"$151,089","$131,534","$19,555",12.9%,1.237,0.578
FORTWORTH,2010Q3,"$149,015","$132,535","$16,481",11.1%,1.220,0.488
FORTWORTH,2010Q4,"$146,929","$133,890","$13,039",8.9%,1.203,0.387
FORTWORTH,2011Q1,"$146,826","$135,518","$11,308",7.7%,1.202,0.337
FORTWORTH,2011Q2,"$146,131","$137,173","$8,958",6.1%,1.197,0.267
FORTWORTH,2011Q3,"$145,849","$138,557","$7,292",5.0%,1.194,0.215
FORTWORTH,2011Q4,"$146,498","$139,173","$7,325",5.0%,1.200,0.216
FORTWORTH,2012Q1,"$148,086","$139,750","$8,336",5.6%,1.213,0.246
FORTWORTH,2012Q2,"$150,273","$140,066","$10,207",6.8%,1.231,0.301
FORTWORTH,2012Q3,"$152,631","$140,461","$12,169",8.0%,1.250,0.360
FORTWORTH,2012Q4,"$155,467","$141,275","$14,192",9.1%,1.273,0.421
FORTWORTH,2013Q1,"$158,077","$142,728","$15,350",9.7%,1.295,0.457
FORTWORTH,2013Q2,"$161,969","$144,607","$17,362",10.7%,1.326,0.518
FORTWORTH,2013Q3,"$166,012","$146,572","$19,440",11.7%,1.360,0.581
FORTWORTH,2013Q4,"$169,476","$148,284","$21,192",12.5%,1.388,0.635
FORTWORTH,2014Q1,"$172,556","$149,485","$23,072",13.4%,1.413,0.694
FORTWORTH,2014Q2,"$175,738","$150,269","$25,469",14.5%,1.439,0.768
FORTWORTH,2014Q3,"$179,444","$150,799","$28,645",16.0%,1.470,0.866
FORTWORTH,2014Q4,"$183,845","$151,245","$32,600",17.7%,1.506,0.989
FORTWORTH,2015Q1,"$188,445","$151,728","$36,717",19.5%,1.543,1.118
FORTWORTH,2015Q2,"$192,700","$152,258","$40,441",21.0%,1.578,1.236
FORTWORTH,2015Q3,"$197,542","$152,790","$44,752",22.7%,1.618,1.373
FORTWORTH,2015Q4,"$202,537","$153,283","$49,254",24.3%,1.659,1.517
FORTWORTH,2016Q1,"$207,832","$153,778","$54,053",26.0%,1.702,1.674
FORTWORTH,2016Q2,"$212,572","$154,152","$58,420",27.5%,1.741,1.816
FORTWORTH,2016Q3,"$218,447","$154,527","$63,921",29.3%,1.789,1.994
FORTWORTH,2016Q4,"$223,676","$154,950","$68,726",30.7%,1.832,2.151
FORTWORTH,2017Q1,"$229,813","$155,366","$74,447",32.4%,1.882,2.333
FORTWORTH,2017Q2,"$235,984","$155,992","$79,992",33.9%,1.933,2.514
FORTWORTH,2017Q3,"$239,882","$156,696","$83,187",34.7%,1.965,2.623
FORTWORTH,2017Q4,"$245,109","$157,458","$87,651",35.8%,2.007,2.773
FORTWORTH,2018Q1,"$249,649","$160,263","$89,386",35.8%,2.045,2.838
FORTWORTH,2018Q2,"$253,813","$163,214","$90,598",35.7%,2.079,2.887
HARTFORD,1984Q4,"$107,543","$69,393","$38,151",35.5%,0.572,0.439
HARTFORD,1985Q1,"$111,854","$69,879","$41,975",37.5%,0.595,0.484
HARTFORD,1985Q2,"$116,218","$70,354","$45,864",39.5%,0.618,0.531
HARTFORD,1985Q3,"$119,676","$70,907","$48,769",40.8%,0.636,0.566
HARTFORD,1985Q4,"$124,060","$71,642","$52,419",42.3%,0.659,0.610
HARTFORD,1986Q1,"$128,264","$72,637","$55,627",43.4%,0.682,0.649
HARTFORD,1986Q2,"$135,367","$73,724","$61,644",45.5%,0.720,0.722
HARTFORD,1986Q3,"$144,145","$74,756","$69,389",48.1%,0.766,0.815
HARTFORD,1986Q4,"$154,019","$75,566","$78,453",50.9%,0.819,0.924
HARTFORD,1987Q1,"$162,953","$75,986","$86,967",53.4%,0.866,1.026
HARTFORD,1987Q2,"$176,489","$76,242","$100,247",56.8%,0.938,1.186
HARTFORD,1987Q3,"$189,162","$76,452","$112,711",59.6%,1.005,1.338
HARTFORD,1987Q4,"$197,058","$76,765","$120,293",61.0%,1.047,1.432
HARTFORD,1988Q1,"$202,417","$77,499","$124,918",61.7%,1.076,1.494
HARTFORD,1988Q2,"$209,257","$78,171","$131,086",62.6%,1.112,1.573
HARTFORD,1988Q3,"$209,139","$78,905","$130,234",62.3%,1.112,1.566
HARTFORD,1988Q4,"$207,507","$79,644","$127,863",61.6%,1.103,1.541
HARTFORD,1989Q1,"$207,085","$80,342","$126,743",61.2%,1.101,1.530
HARTFORD,1989Q2,"$206,283","$80,921","$125,362",60.8%,1.096,1.515
HARTFORD,1989Q3,"$203,223","$81,324","$121,899",60.0%,1.080,1.474
HARTFORD,1989Q4,"$203,519","$81,489","$122,030",60.0%,1.082,1.475
HARTFORD,1990Q1,"$200,752","$81,217","$119,536",59.5%,1.067,1.442
HARTFORD,1990Q2,"$196,985","$81,195","$115,790",58.8%,1.047,1.397
HARTFORD,1990Q3,"$193,842","$81,505","$112,337",58.0%,1.030,1.355
HARTFORD,1990Q4,"$188,963","$82,425","$106,538",56.4%,1.004,1.285
HARTFORD,1991Q1,"$186,434","$84,158","$102,276",54.9%,0.991,1.235
HARTFORD,1991Q2,"$183,907","$86,250","$97,656",53.1%,0.978,1.180
HARTFORD,1991Q3,"$180,475","$88,297","$92,179",51.1%,0.959,1.114
HARTFORD,1991Q4,"$178,372","$89,842","$88,529",49.6%,0.948,1.070
HARTFORD,1992Q1,"$178,735","$90,729","$88,006",49.2%,0.950,1.066
HARTFORD,1992Q2,"$175,458","$90,893","$84,565",48.2%,0.933,1.024
HARTFORD,1992Q3,"$172,471","$90,924","$81,547",47.3%,0.917,0.986
HARTFORD,1992Q4,"$172,277","$91,263","$81,015",47.0%,0.916,0.978
HARTFORD,1993Q1,"$167,747","$92,005","$75,742",45.2%,0.892,0.909
HARTFORD,1993Q2,"$164,680","$93,447","$71,234",43.3%,0.875,0.854
HARTFORD,1993Q3,"$162,955","$95,005","$67,950",41.7%,0.866,0.813
HARTFORD,1993Q4,"$161,207","$96,319","$64,889",40.3%,0.857,0.775
HARTFORD,1994Q1,"$160,048","$97,127","$62,921",39.3%,0.851,0.752
